MTU,Source,Sink,H2H capacity
2024-05-12 22:00:00+00:00,LT,NO1,534.7999999989743
2024-05-12 22:00:00+00:00,SE2,SE1,2090.19999998337
2024-05-12 22:00:00+00:00,NL,DK1,2740.0000000030977
2024-05-12 22:00:00+00:00,SE3,NO3,259.599999981703
2024-05-12 22:00:00+00:00,DK1,SE4,1566.700000037141
2024-05-12 22:00:00+00:00,EE,FI,716.0000000001428
2024-05-12 22:00:00+00:00,DE_LU,FI,377.0999999300807
2024-05-12 22:00:00+00:00,LT,SE4,534.7999999995252
2024-05-12 22:00:00+00:00,NL,NO5,1776.3000000154036
2024-05-12 22:00:00+00:00,LT,NO2,534.7999999108646
2024-05-12 22:00:00+00:00,NO2,NO3,259.5999998392087
2024-05-12 22:00:00+00:00,NO4,SE2,1129.3999999648443
2024-05-12 22:00:00+00:00,NO3,DK2,211.50000000029067
2024-05-12 22:00:00+00:00,SE4,DK2,1187.1999999781117
2024-05-12 22:00:00+00:00,SE3,NO1,1261.2999993667518
2024-05-12 22:00:00+00:00,NL,NO4,417.0999999948593
2024-05-12 22:00:00+00:00,PL,NO2,758.2999997577191
2024-05-12 22:00:00+00:00,NO2,NO1,5455.799999769183
2024-05-12 22:00:00+00:00,NO5,SE3,1331.8999999966964
2024-05-12 22:00:00+00:00,SE3,SE4,1566.6999997704133
2024-05-12 22:00:00+00:00,NO1,SE2,1187.1999999975114
2024-05-12 22:00:00+00:00,NO4,SE1,1129.3999999897583
2024-05-12 22:00:00+00:00,SE1,FI,211.49999990312753
2024-05-12 22:00:00+00:00,NO5,SE2,1331.899999856067
2024-05-12 22:00:00+00:00,NO1,DK2,1187.1999999683253
2024-05-12 22:00:00+00:00,NO2,SE4,1566.699999874622
2024-05-12 22:00:00+00:00,LT,DK1,534.7999997994806
2024-05-12 22:00:00+00:00,NO4,FI,211.49999998214244
2024-05-12 22:00:00+00:00,NO1,SE1,1187.1999999990294
2024-05-12 22:00:00+00:00,NL,NO2,2740.000000006002
2024-05-12 22:00:00+00:00,NO5,SE1,1331.900000000006
2024-05-12 22:00:00+00:00,PL,DK1,758.2999998488089
2024-05-12 22:00:00+00:00,PL,SE3,758.2999999992564
2024-05-12 22:00:00+00:00,DK1,NO4,417.0999998092965
2024-05-12 22:00:00+00:00,SE2,NO3,259.59999998418874
2024-05-12 22:00:00+00:00,EE,DK2,715.9999999959717
2024-05-12 22:00:00+00:00,PL,SE2,758.2999999985653
2024-05-12 22:00:00+00:00,NO1,FI,377.10000000159766
2024-05-12 22:00:00+00:00,NO5,FI,377.10000000005203
2024-05-12 22:00:00+00:00,EE,NO1,715.9999999726713
2024-05-12 22:00:00+00:00,DE_LU,NO1,3675.2999983805803
2024-05-12 22:00:00+00:00,PL,EE,1.0189389118973336e-12
2024-05-12 22:00:00+00:00,NL,SE3,2592.5999998637185
2024-05-12 22:00:00+00:00,NL,SE2,2592.5999999950577
2024-05-12 22:00:00+00:00,SE3,NO4,417.09999988486345
2024-05-12 22:00:00+00:00,SE1,DK2,211.49999999973602
2024-05-12 22:00:00+00:00,LT,NL,80.40000000172135
2024-05-12 22:00:00+00:00,SE2,SE4,211.4999999597185
2024-05-12 22:00:00+00:00,SE4,NO3,259.5999998822337
2024-05-12 22:00:00+00:00,PL,FI,377.0999999724135
2024-05-12 22:00:00+00:00,NO2,NO4,417.099999835917
2024-05-12 22:00:00+00:00,EE,DE_LU,715.9999999870305
2024-05-12 22:00:00+00:00,NO4,DK2,211.4999999989628
2024-05-12 22:00:00+00:00,PL,NL,80.40000000301008
2024-05-12 22:00:00+00:00,FI,NO3,259.5999999843274
2024-05-12 22:00:00+00:00,NL,FI,377.09999980622666
2024-05-12 22:00:00+00:00,DK1,SE3,2592.599999978052
2024-05-12 22:00:00+00:00,NO5,DK2,1331.8999989217123
2024-05-12 22:00:00+00:00,EE,NO5,715.9999999944266
2024-05-12 22:00:00+00:00,DE_LU,NO5,1776.3000000256197
2024-05-12 22:00:00+00:00,DK1,SE2,2592.599998638311
2024-05-12 22:00:00+00:00,LT,SE3,534.7999999992195
2024-05-12 22:00:00+00:00,LT,SE2,534.7999999999778
2024-05-12 22:00:00+00:00,EE,NO3,259.59999996792453
2024-05-12 22:00:00+00:00,DE_LU,NO3,259.5999998562798
2024-05-12 22:00:00+00:00,EE,NO4,417.0999999663586
2024-05-12 22:00:00+00:00,DE_LU,NO4,417.09999966443206
2024-05-12 22:00:00+00:00,LT,SE1,534.7999999993385
2024-05-12 22:00:00+00:00,PL,DK2,758.2999998458343
2024-05-12 22:00:00+00:00,LT,EE,6.345041354341653e-12
2024-05-12 22:00:00+00:00,SE3,SE2,5571.799998299961
2024-05-12 22:00:00+00:00,NO2,DK1,2973.6999999495292
2024-05-12 22:00:00+00:00,DK1,FI,377.099999918747
2024-05-12 22:00:00+00:00,NO2,SE3,2592.599999617939
2024-05-12 22:00:00+00:00,SE1,NO3,259.5999999875809
2024-05-12 22:00:00+00:00,PL,SE1,758.2999999975981
2024-05-12 22:00:00+00:00,NO2,SE2,2592.599999935254
2024-05-12 22:00:00+00:00,LT,FI,377.0999999878827
2024-05-12 22:00:00+00:00,EE,SE4,715.9999999969201
2024-05-12 22:00:00+00:00,DE_LU,SE4,1566.6999999138454
2024-05-12 22:00:00+00:00,EE,NO2,715.9999999906179
2024-05-12 22:00:00+00:00,DE_LU,NO2,3675.2999996409835
2024-05-12 22:00:00+00:00,NO4,NO3,259.59999998438394
2024-05-12 22:00:00+00:00,NL,DK2,2538.199999982237
2024-05-12 22:00:00+00:00,SE3,FI,377.09999999368125
2024-05-12 22:00:00+00:00,NL,SE1,2467.1999999245204
2024-05-12 22:00:00+00:00,PL,DE_LU,758.2999998763995
2024-05-12 22:00:00+00:00,SE1,SE4,211.49999994757036
2024-05-12 22:00:00+00:00,NO1,NO3,259.5999999676887
2024-05-12 22:00:00+00:00,NO5,NO3,259.5999999070268
2024-05-12 22:00:00+00:00,NO2,FI,377.0999999628842
2024-05-12 22:00:00+00:00,NO1,NO4,417.0999999936686
